"REFERENCE_FILE","DOFLOW_FILE","MODE","ALLOWLIST","REASON","REFERENCE_SHA256","DOFLOW_SHA256","JSX_PARITY","CLASS_PARITY"
"src/features/commercial/google-contacts-export.ts","apps/frontend/src/features/commercial/google-contacts-export.ts","VERBATIM","","SHA-256 identical","be0965d1ddef70322f5bf5a39e47ecb878c9cdc4f58840d9dace82fdbe457494","be0965d1ddef70322f5bf5a39e47ecb878c9cdc4f58840d9dace82fdbe457494","N/A","N/A"
"src/features/commercial/types.ts","apps/frontend/src/features/commercial/types.ts","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Commercial UI contract backed by real Doflow API adapters and capabilities","a39ef5a4eaaeafcb3216d932d5b06ed3f5695c1c0f3e8aea532db6b447d73c74","61b77fc0a6417bfb2c40e762c8e8b559756a397e5560af36ee1e16b8af3098a7","N/A","N/A"
"src/features/company-intelligence/company-intelligence-page.tsx","apps/frontend/src/features/company-intelligence/company-intelligence-page.tsx","VERBATIM","","SHA-256 identical","23620c85e22e930650b06c30d0ae7cb2bf56479d8e283188afafbd0f17fdea11","23620c85e22e930650b06c30d0ae7cb2bf56479d8e283188afafbd0f17fdea11","N/A","N/A"
"src/features/company-intelligence/company-intelligence-provider.tsx","apps/frontend/src/features/company-intelligence/company-intelligence-provider.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Provider implementation mapped to authenticated Doflow APIs and real tenant data","148de4bd458164079d3a9ebc0ca54aca33ece972fcfa12b83d6c1f5891b1a8ea","6a3cf73aee1aef9626dcaf4bc6077e8fcb7cc38e60f64bc911f1bda4719e4105","PASS","PASS"
"src/features/company-intelligence/company-intelligence-report-tools.tsx","apps/frontend/src/features/company-intelligence/company-intelligence-report-tools.tsx","VERBATIM","","SHA-256 identical","00427db21954bb41958479c30a7ed4a2bc8a5a29a3ea4f4294135bb2feb8dc27","00427db21954bb41958479c30a7ed4a2bc8a5a29a3ea4f4294135bb2feb8dc27","N/A","N/A"
"src/features/company-intelligence/company-intelligence-types.ts","apps/frontend/src/features/company-intelligence/company-intelligence-types.ts","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Reference contract backed by available Doflow APIs; unsupported mutations are explicitly blocked","c254dd61089f90455d28b0cf88433b5af6d3547d1092209e93ddd82e53aa6389","251c5db4820683a35dda527fe47e0007cde7aa9680f58ebeac416f7eb2b92df6","N/A","N/A"
"src/features/dashboard/components/dashboard-goals-card.tsx","apps/frontend/src/features/dashboard/components/dashboard-goals-card.tsx","VERBATIM","","SHA-256 identical","bb37a95b78d2e35ca1855761fe40a01a7113b95528391f434b949f963022aaf0","bb37a95b78d2e35ca1855761fe40a01a7113b95528391f434b949f963022aaf0","N/A","N/A"
"src/features/dashboard/components/dashboard-greeting.tsx","apps/frontend/src/features/dashboard/components/dashboard-greeting.tsx","VERBATIM","","SHA-256 identical","a53e748a676d2591472b14d0cb66e5a4364a595021ee901813726597705b7708","a53e748a676d2591472b14d0cb66e5a4364a595021ee901813726597705b7708","N/A","N/A"
"src/features/dashboard/components/dashboard-states.tsx","apps/frontend/src/features/dashboard/components/dashboard-states.tsx","VERBATIM","","SHA-256 identical","bbc9c2c0ea3965bf3f3cd385f7ec12e3468186af75e985cf164c9da443ae9194","bbc9c2c0ea3965bf3f3cd385f7ec12e3468186af75e985cf164c9da443ae9194","N/A","N/A"
"src/features/dashboard/components/financial-summary-chart.tsx","apps/frontend/src/features/dashboard/components/financial-summary-chart.tsx","VERBATIM","","SHA-256 identical","00448cdeca4568ffe3ad3314217edb9338f147b891a7feccf06a018427f3ab6d","00448cdeca4568ffe3ad3314217edb9338f147b891a7feccf06a018427f3ab6d","N/A","N/A"
"src/features/dashboard/components/metric-area-chart.tsx","apps/frontend/src/features/dashboard/components/metric-area-chart.tsx","VERBATIM","","SHA-256 identical","b1e8a23c869a50fd6465f60c812734584414d40755606f6013e73d030e640f2f","b1e8a23c869a50fd6465f60c812734584414d40755606f6013e73d030e640f2f","N/A","N/A"
"src/features/dashboard/components/metric-line-chart.tsx","apps/frontend/src/features/dashboard/components/metric-line-chart.tsx","VERBATIM","","SHA-256 identical","06ab61dd0c48aa45374f49f87d9eccc9c29465d933d9acc49744f6084aab79dc","06ab61dd0c48aa45374f49f87d9eccc9c29465d933d9acc49744f6084aab79dc","N/A","N/A"
"src/features/dashboard/dashboard-overview.tsx","apps/frontend/src/features/dashboard/dashboard-overview.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,H","Real Doflow API/data compatibility adapter","5eb1997b1fa0dfb75c997a008de7bd07cb62a301b75394dee372657788642fe2","30112cc889b1062fd930fe0450d0f374cc2df80ce5aa1f783c605dee9a4baf47","PASS","PASS"
"src/features/dashboard/dashboard-time.ts","apps/frontend/src/features/dashboard/dashboard-time.ts","VERBATIM","","SHA-256 identical","5bdf41bbaa973b330729d36853f1caf91d199416862265e0f4969129e6212b0a","5bdf41bbaa973b330729d36853f1caf91d199416862265e0f4969129e6212b0a","N/A","N/A"
"src/features/dashboard/data/dashboard-fixtures.ts","apps/frontend/src/features/dashboard/data/dashboard-fixtures.ts","VERBATIM","","SHA-256 identical","6443c7b88ed50ec556bddf1050b4ec774bb8a9b3ccbc1dfb9bed18e1123c4e13","6443c7b88ed50ec556bddf1050b4ec774bb8a9b3ccbc1dfb9bed18e1123c4e13","N/A","N/A"
"src/features/dashboard/formatters.ts","apps/frontend/src/features/dashboard/formatters.ts","VERBATIM","","SHA-256 identical","60d40e087c26402c463d6cc67b229543839f8b714ffe24b4ddf5d06619c80968","60d40e087c26402c463d6cc67b229543839f8b714ffe24b4ddf5d06619c80968","N/A","N/A"
"src/features/dashboard/role-aware-dashboard.tsx","apps/frontend/src/features/dashboard/role-aware-dashboard.tsx","VERBATIM","","SHA-256 identical","6e30f3d74a7ee5aca3e7716206da0211c927e0adb7d07b96d356e5fceab371b5","6e30f3d74a7ee5aca3e7716206da0211c927e0adb7d07b96d356e5fceab371b5","N/A","N/A"
"src/features/dashboard/synchronized-dashboard-overview.tsx","apps/frontend/src/features/dashboard/synchronized-dashboard-overview.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,H","Real Doflow API/data compatibility adapter","e031c23191e4c58f8cb61e972c437bac5df16585d57dc2689f7430554ed40c00","ce87e837cc135a8f136dac58e95ab5b6baf44d1ed86cfd9b08299f637241d969","PASS","PASS"
"src/features/dashboard/trend.ts","apps/frontend/src/features/dashboard/trend.ts","VERBATIM","","SHA-256 identical","39b1a2ee2adcf5ad822e5da5350f3845044442b23832a056707d0e970976f2bd","39b1a2ee2adcf5ad822e5da5350f3845044442b23832a056707d0e970976f2bd","N/A","N/A"
"src/features/dashboard/types.ts","apps/frontend/src/features/dashboard/types.ts","VERBATIM","","SHA-256 identical","22dc8021019e836509911b866061c7b53dc97ca5614a6d7401c4b81f3f152c04","22dc8021019e836509911b866061c7b53dc97ca5614a6d7401c4b81f3f152c04","N/A","N/A"
"src/features/flow/flow-assets.ts","apps/frontend/src/features/flow/flow-assets.ts","VERBATIM","","SHA-256 identical","925ff63f3345ff40962a108068ac7a8a971263009d4289c2e87b7fc9c3fe8260","925ff63f3345ff40962a108068ac7a8a971263009d4289c2e87b7fc9c3fe8260","N/A","N/A"
"src/features/flow/flow-assistant.tsx","apps/frontend/src/features/flow/flow-assistant.tsx","VERBATIM","","SHA-256 identical","57e525c3cc2b2dc519173903476d08021b5a8a3f79a74dadbe7f16d7c406b856","57e525c3cc2b2dc519173903476d08021b5a8a3f79a74dadbe7f16d7c406b856","N/A","N/A"
"src/features/flow/flow-empty-state.tsx","apps/frontend/src/features/flow/flow-empty-state.tsx","VERBATIM","","SHA-256 identical","90599a22f85183804b9f984305420a104def89326f9613ff98e0d68846993a1d","90599a22f85183804b9f984305420a104def89326f9613ff98e0d68846993a1d","N/A","N/A"
"src/features/flow/flow-experience-provider.tsx","apps/frontend/src/features/flow/flow-experience-provider.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Provider implementation mapped to authenticated Doflow APIs and real tenant data","c434c4635bb8c389dabc32177b1678563ba4210a539e9fc2abd8b9eb4267a294","ec34b904ee2971675cd17dbb0e7159f1089b53986ce1cc6f344c48fd86d2c160","PASS","PASS"
"src/features/flowboard/flowboard-comments-sheet.tsx","apps/frontend/src/features/flowboard/flowboard-comments-sheet.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Reference contract backed by available Doflow APIs; unsupported mutations are explicitly blocked","76b06af84bbc0d5e5e13048d69a8bc70d86018ce8d1f35f268e651f4db6e5312","1c1fe08882aabe5c003ec827bdfbd0b32fd6560c0944043c883cf454d8410d34","PASS","PASS"
"src/features/flowboard/flowboard-editor-page.tsx","apps/frontend/src/features/flowboard/flowboard-editor-page.tsx","VERBATIM","","SHA-256 identical","46c8024051b9ccf99c2f36b467e66a7323535873de74f9aca88cf1a4f9ab683b","46c8024051b9ccf99c2f36b467e66a7323535873de74f9aca88cf1a4f9ab683b","N/A","N/A"
"src/features/flowboard/flowboard-home-page.tsx","apps/frontend/src/features/flowboard/flowboard-home-page.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Reference contract backed by available Doflow APIs; unsupported mutations are explicitly blocked","39d3c23e7e9c37c5fcdb1c4f229826434f19154ec52484288f895f0895926da4","8bac40a0103ccde60ec3ec6561a0f8a3b9514c2188382fdcfbe19fa883642b5b","PASS","PASS"
"src/features/flowboard/flowboard-node.tsx","apps/frontend/src/features/flowboard/flowboard-node.tsx","VERBATIM","","SHA-256 identical","7b0da443e55411f39f15bf1177594d6e7593eb5cad782c2d54015fac771b8008","7b0da443e55411f39f15bf1177594d6e7593eb5cad782c2d54015fac771b8008","N/A","N/A"
"src/features/flowboard/flowboard-provider.tsx","apps/frontend/src/features/flowboard/flowboard-provider.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Provider implementation mapped to authenticated Doflow APIs and real tenant data","b78d255d3e882b3a9468a4733d693ffc861cdd2d7b3410ff7147dfcf73111a4f","be577f232653cb0e45c91309bc3422b8f07edc8d91794b9bfe93d2a138b912ed","PASS","PASS"
"src/features/flowboard/flowboard-share-dialog.tsx","apps/frontend/src/features/flowboard/flowboard-share-dialog.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Reference contract backed by available Doflow APIs; unsupported mutations are explicitly blocked","0543020c9ce3f66ec5b982109b387e20ebf364fee1382eba1767578839c3b05a","da3393ee1cba2252d8a151e0a95567414bdb7e5169df89eb8b52faf10285f936","PASS","PASS"
"src/features/flowboard/flowboard-types.ts","apps/frontend/src/features/flowboard/flowboard-types.ts","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Reference contract backed by available Doflow APIs; unsupported mutations are explicitly blocked","66850030aa0a04c1a829446ad94ba50d37451ae65d1cff416a600889e59450a3","0c0bb9b2f851ca25ad9aaea90d1785dad044f58e13f6623a184c62412f664c0f","N/A","N/A"
"src/features/identity/access-denied.tsx","apps/frontend/src/features/identity/access-denied.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Doflow identity, permission, session, presence, and real-user authority","12a4b64460e7bfcfc9c8c38a54e1a4f384fbb9295091bf852dc583cfda6e0b0d","e7aaeaad540ebc862ad326ab0249d8e6537f83c4768078f786d23293debf777a","PASS","PASS"
"src/features/identity/authorized-pages.tsx","apps/frontend/src/features/identity/authorized-pages.tsx","VERBATIM","","SHA-256 identical","007e9fa89dbb6d36350bccc743a03d98ade0072009766f0ee7c4ce1d8c3141d4","007e9fa89dbb6d36350bccc743a03d98ade0072009766f0ee7c4ce1d8c3141d4","N/A","N/A"
"src/features/identity/doflow-auth-shell.tsx","apps/frontend/src/features/identity/doflow-auth-shell.tsx","EXCLUDED","A","D3CC801 AUTHORITY: pre-auth component excluded","6774f8715ec93f61d5f4bd69bfbb416fce3e1c8cf2a22ed5d96c181907e68afc","","N/A","N/A"
"src/features/identity/doflow-identity-provider.tsx","apps/frontend/src/features/identity/doflow-identity-provider.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Provider implementation mapped to authenticated Doflow APIs and real tenant data","51d581cce5b6b78611d7df87d75b47af3dea0e3b3340e8cc05c539c7b66736c8","5f7b05cbd037e5b6c8cf36380804ceab3678328418f58247a4c40f043ef7deee","PASS","PASS"
"src/features/identity/doflow-login-page.tsx","apps/frontend/src/features/identity/doflow-login-page.tsx","EXCLUDED","A","D3CC801 AUTHORITY: pre-auth component excluded","98a1d9d357b68c898bb8482cbbeaf47eb27e47f1af25ad187835c876f80b03b4","","N/A","N/A"
"src/features/identity/doflow-presence-provider.tsx","apps/frontend/src/features/identity/doflow-presence-provider.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Provider implementation mapped to authenticated Doflow APIs and real tenant data","006d0532516170c24f06ec33d02ca7ff54576ee01a86a4dfa82b7e7a5fc118dc","f839bddd8bce044a2c93b514eb33dea31a69d288b10db05df16a41bd622d89bf","PASS","PASS"
"src/features/identity/forgot-password-page.tsx","apps/frontend/src/features/identity/forgot-password-page.tsx","EXCLUDED","A","D3CC801 AUTHORITY: pre-auth component excluded","5b765afe4a95b07f2cf72c3f8d32b932eef0c2d5c9991b2f9369027870a5a605","","N/A","N/A"
"src/features/identity/identity-session-guard.tsx","apps/frontend/src/features/identity/identity-session-guard.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Doflow identity, permission, session, presence, and real-user authority","5632c83663be4f140e3d3c63903f31f54062be13d1a2238087511186988c61f0","50801cb8d8cc9a63870a5fafc599f473d171fbe0e05307df5304f14fccc23afb","PASS","PASS"
"src/features/identity/permissions.ts","apps/frontend/src/features/identity/permissions.ts","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Doflow identity, permission, session, presence, and real-user authority","3e7ab9c278983d62e48e15dbad60f68332737961a2decfebac3ec49966a3eb39","4313e904aa7edc1aec532290e2c835e3a8d1f756498fa080bfe346a6ad2a3061","N/A","N/A"
