"status","path","category","reason","commit_decision","risk","bytes","kind","rc_relation"
"M","apps/backend/src/tenant/tenant-crm-schema.ts","02-backend-application","release candidate replacement","include-release","medium","14370","text","direct"
"M","apps/backend/src/tenant/tenant-crm.controller.ts","02-backend-application","release candidate replacement","include-release","medium","4131","text","direct"
"M","apps/backend/src/tenant/tenant-crm.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","18173","text","direct"
"M","apps/backend/src/tenant/tenant-crm.service.ts","02-backend-application","release candidate replacement","include-release","medium","34113","text","direct"
"??","apps/backend/src/tenant/tenant-delivery-core.controller.ts","02-backend-application","release candidate replacement","include-release","medium","12590","text","direct"
"??","apps/backend/src/tenant/tenant-delivery-core.dto.ts","02-backend-application","release candidate replacement","include-release","medium","10009","text","direct"
"??","apps/backend/src/tenant/tenant-delivery-core.service.ts","02-backend-application","release candidate replacement","include-release","medium","117595","text","direct"
"??","apps/backend/src/tenant/tenant-delivery-invariants.spec.ts","02-backend-application","release candidate replacement","include-release","medium","777","text","direct"
"??","apps/backend/src/tenant/tenant-delivery-invariants.ts","02-backend-application","release candidate replacement","include-release","medium","869","text","direct"
"??","apps/backend/src/tenant/tenant-delivery-schema.ts","02-backend-application","release candidate replacement","include-release","medium","13675","text","direct"
"M","apps/backend/src/tenant/tenant-documents-schema.ts","02-backend-application","release candidate replacement","include-release","medium","7929","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-collaboration-outbox.processor.ts","02-backend-application","release candidate replacement","include-release","medium","2440","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-collaboration-schema.ts","02-backend-application","release candidate replacement","include-release","medium","6703","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-collaboration.controller.ts","02-backend-application","release candidate replacement","include-release","medium","3674","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-collaboration.dto.ts","02-backend-application","release candidate replacement","include-release","medium","1706","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-collaboration.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","1886","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-collaboration.service.ts","02-backend-application","release candidate replacement","include-release","medium","48227","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-commerce-schema.ts","02-backend-application","release candidate replacement","include-release","medium","17941","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-commerce.controller.ts","02-backend-application","release candidate replacement","include-release","medium","7044","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-commerce.dto.ts","02-backend-application","release candidate replacement","include-release","medium","10569","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-commerce.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","4619","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-commerce.service.ts","02-backend-application","release candidate replacement","include-release","medium","100801","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-document-revenue-schema.ts","02-backend-application","release candidate replacement","include-release","medium","9556","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-document-revenue.controller.ts","02-backend-application","release candidate replacement","include-release","medium","5985","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-document-revenue.dto.ts","02-backend-application","release candidate replacement","include-release","medium","5151","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-document-revenue.service.ts","02-backend-application","release candidate replacement","include-release","medium","105657","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-performance-runtime.service.ts","02-backend-application","release candidate replacement","include-release","medium","11286","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-performance.controller.ts","02-backend-application","release candidate replacement","include-release","medium","2004","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-performance.service.ts","02-backend-application","release candidate replacement","include-release","medium","30437","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-workspace-schema.spec.ts","02-backend-application","release candidate replacement","include-release","medium","1486","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-workspace.controller.ts","02-backend-application","release candidate replacement","include-release","medium","1533","text","direct"
"??","apps/backend/src/tenant/tenant-doflow-workspace.service.ts","02-backend-application","release candidate replacement","include-release","medium","26253","text","direct"
"M","apps/backend/src/tenant/tenant-finance-schema.ts","02-backend-application","release candidate replacement","include-release","medium","20688","text","direct"
"M","apps/backend/src/tenant/tenant-finance.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","8219","text","direct"
"M","apps/backend/src/tenant/tenant-finance.service.ts","02-backend-application","release candidate replacement","include-release","medium","69163","text","direct"
"M","apps/backend/src/tenant/tenant-notifications-schema.ts","02-backend-application","release candidate replacement","include-release","medium","13268","text","direct"
"M","apps/backend/src/tenant/tenant-notifications.service.ts","02-backend-application","release candidate replacement","include-release","medium","45325","text","direct"
"M","apps/backend/src/tenant/tenant-projects-schema.ts","02-backend-application","release candidate replacement","include-release","medium","14358","text","direct"
"M","apps/backend/src/tenant/tenant-projects.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","6024","text","direct"
"M","apps/backend/src/tenant/tenant-projects.service.ts","02-backend-application","release candidate replacement","include-release","medium","48834","text","direct"
"M","apps/backend/src/tenant/tenant-quotes.controller.ts","02-backend-application","release candidate replacement","include-release","medium","3014","text","direct"
"M","apps/backend/src/tenant/tenant-quotes.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","4282","text","direct"
"M","apps/backend/src/tenant/tenant-quotes.service.ts","02-backend-application","release candidate replacement","include-release","medium","35414","text","direct"
"M","apps/backend/src/tenant/tenant-site-proposals-doflow.guard.spec.ts","02-backend-application","release candidate replacement","include-release","medium","1484","text","direct"
"M","apps/backend/src/tenant/tenant-site-proposals-doflow.guard.ts","02-backend-application","release candidate replacement","include-release","medium","1177","text","direct"
"M","apps/backend/src/tenant/tenant-site-proposals-schema.ts","02-backend-application","release candidate replacement","include-release","medium","31545","text","direct"
"M","apps/backend/src/tenant/tenant-site-proposals.service.ts","02-backend-application","release candidate replacement","include-release","medium","58620","text","direct"
"M","apps/backend/src/tenant/tenant-team-schema.ts","02-backend-application","release candidate replacement","include-release","medium","14994","text","direct"
"M","apps/backend/src/tenant/tenant-team.service.ts","02-backend-application","release candidate replacement","include-release","medium","62530","text","direct"
"M","apps/backend/src/tenant/tenant-timeline.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","16996","text","direct"
